model_id,env_id,context_window,reasoning_flag,num_episodes,avg_success,avg_reward,avg_length,avg_invalid,avg_total_time,avg_generate_time
meta-llama/Llama-3.2-3B-Instruct,BabyAI-GoTo-v0,1,False,9,0.6666666666666666,0.4291666666666667,38.22222222222222,0.0,20.033660292625427,19.870830178260803
meta-llama/Llama-3.2-3B-Instruct,BabyAI-GoTo-v0,2,False,19,0.9473684210526315,0.7608552631578948,16.789473684210527,0.15789473684210525,30.548553705215454,30.35709583759308
meta-llama/Llama-3.2-3B-Instruct,BabyAI-GoTo-v0,3,False,10,0.8,0.5046875,33.9,0.1,37.92820191383362,37.754674196243286
meta-llama/Llama-3.2-3B-Instruct,BabyAI-GoTo-v0,4,False,10,0.6,0.47906250000000006,34.5,0.3,44.64248263835907,44.462417244911194
meta-llama/Llama-3.2-3B-Instruct,BabyAI-GoTo-v0,5,False,10,0.8,0.5187499999999999,34.0,1.2,60.7982919216156,60.612279534339905
meta-llama/Llama-3.2-3B-Instruct,BabyAI-Pickup-v0,1,False,8,0.0,0.0,64.0,0.0,21.28153705596924,21.126709699630737
meta-llama/Llama-3.2-3B-Instruct,BabyAI-Pickup-v0,2,False,7,0.14285714285714285,0.12075892857142857,56.42857142857143,0.0,29.688163995742798,29.528691172599792
meta-llama/Llama-3.2-3B-Instruct,BabyAI-Pickup-v0,3,False,9,0.6666666666666666,0.48385416666666664,34.666666666666664,0.3333333333333333,37.072765827178955,36.91143345832825
meta-llama/Llama-3.2-3B-Instruct,BabyAI-Pickup-v0,4,False,9,0.3333333333333333,0.29739583333333336,40.333333333333336,0.6666666666666666,47.99589002132416,47.827457308769226
meta-llama/Llama-3.2-3B-Instruct,BabyAI-Pickup-v0,5,False,6,0.3333333333333333,0.20677083333333332,51.666666666666664,0.0,51.42303383350372,51.262895584106445
meta-llama/Llama-3.2-3B-Instruct,BabyAI-Open-v0,1,False,8,0.0,0.0,128.0,0.0,37.864376068115234,37.57809853553772
meta-llama/Llama-3.2-3B-Instruct,BabyAI-Open-v0,2,False,5,0.0,0.0,128.0,0.0,59.42623221874237,59.128809452056885
meta-llama/Llama-3.2-3B-Instruct,BabyAI-Open-v0,3,False,3,0.0,0.0,128.66666666666666,0.6666666666666666,74.69321060180664,74.401491522789
meta-llama/Llama-3.2-3B-Instruct,BabyAI-Open-v0,4,False,5,0.0,0.0,116.0,2.0,86.30608010292053,86.01577460765839
meta-llama/Llama-3.2-3B-Instruct,BabyAI-Open-v0,5,False,5,0.0,0.0,113.6,1.0,105.24149692058563,104.93808555603027
